Date,VN_Index_Close,Total Volume,Total Value
2009-07-06,454.27,33622700.0,1202960000000.0
2009-07-07,447.63,47810900.0,1745330000000.0
2009-07-08,446.79,32749580.0,1219950000000.0
2009-07-09,446.4,27363890.0,946640000000.0
2009-07-10,438.83,34190250.0,1210950000000.0
2009-07-13,426.67,29896750.0,1114730000000.0
2009-07-14,418.55,33262920.0,1171020000000.0
2009-07-15,427.05,23305328.0,807090000000.0
2009-07-16,433.47,30058800.0,1073510000000.0
2009-07-17,428.67,25583480.0,962950000000.0
2009-07-20,412.88,28742960.0,921790000000.0
2009-07-21,416.43,26244050.0,904820000000.0
2009-07-22,419.48,20854820.0,733760000000.0
2009-07-23,434.2,25761299.0,894540000000.0
2009-07-24,454.71,28537750.0,1035710000000.0
2009-07-27,469.71,62328050.0,2206280000000.0
2009-07-28,462.98,61307440.0,2483140000000.0
2009-07-29,458.04,36279130.0,1354760000000.0
2009-07-30,451.91,31547060.0,1123770000000.0
2009-07-31,466.76,38509410.0,1433750000000.0
2009-08-03,467.93,35106190.0,1330930000000.0
2009-08-04,476.59,46177430.0,1896920000000.0
2009-08-05,481.29,42205260.0,1737940000000.0
2009-08-06,481.44,60746650.0,2212130000000.0
2009-08-07,480.65,42233610.0,1540190000000.0
2009-08-10,491.2,48041320.0,1750140000000.0
2009-08-11,494.17,50875730.0,1797290000000.0
2009-08-12,497.16,64867880.0,2298110000000.0
2009-08-13,503.58,70352980.0,2700200000000.0
2009-08-14,506.99,56808370.0,2240130000000.0
2009-08-17,500.08,45755803.0,1789220000000.0
2009-08-18,499.69,48152400.0,1913420000000.0
2009-08-19,508.46,45698820.0,1725300000000.0
2009-08-20,513.9,62035220.0,2200530000000.0
2009-08-21,519.17,83518054.0,3264060000000.0
2009-08-24,528.2,58259220.0,2359250000000.0
2009-08-25,528.85,69579980.0,3201440000000.0
2009-08-26,525.95,55523930.0,2443660000000.0
2009-08-27,527.04,49975740.0,1942950000000.0
2009-08-28,536.53,58221550.0,2259180000000.0
2009-08-31,546.78,75091855.0,3142150000000.0
2009-09-01,547.69,73199010.0,3024480000000.0
2009-09-03,540.81,68053980.0,2890430000000.0
2009-09-04,528.49,78739740.0,3229520000000.0
2009-09-07,524.51,60731430.0,2593940000000.0
2009-09-08,537.81,49012802.0,2062670000000.0
2009-09-09,536.11,57251300.0,2579710000000.0
2009-09-10,540.19,52978000.0,2389090000000.0
2009-09-11,547.99,62998560.0,2762930000000.0
2009-09-14,556.59,65459728.0,2949320000000.0
2009-09-15,556.75,72346910.0,3636450000000.0
2009-09-16,556.98,68353962.0,3329580000000.0
2009-09-17,561.19,76594990.0,3750260000000.0
2009-09-18,571.01,65821290.0,3243530000000.0
2009-09-21,577.97,69185309.0,3320460000000.0
2009-09-22,582.85,74826020.0,3657700000000.0
2009-09-23,582.11,91822770.0,4533480000000.0
2009-09-24,574.78,72764590.0,3869800000000.0
2009-09-25,582.84,77629421.0,3539390000000.0
2009-09-28,582.02,75625920.0,3554660000000.0
2009-09-29,582.59,85019810.0,4346939999999.9995
2009-09-30,580.9,75115730.0,3676160000000.0
2009-10-01,568.99,65331960.0,3231080000000.0
2009-10-02,549.73,77261520.0,3842550000000.0
2009-10-05,549.0,49972294.0,2544740000000.0
2009-10-06,552.03,44088020.0,2270380000000.0
2009-10-07,566.42,45613960.0,2305370000000.0
2009-10-08,571.84,52420940.0,2673750000000.0
2009-10-09,581.99,69532540.0,3478170000000.0
2009-10-12,594.3,75730227.0,3794620000000.0
2009-10-13,589.89,85582030.0,3857190000000.0
2009-10-14,605.65,85906910.0,4054110000000.0
2009-10-15,617.38,106408660.0,5530760000000.0
2009-10-16,609.54,123400200.0,5873860000000.0
2009-10-19,607.11,87754280.0,3946050000000.0
2009-10-20,616.58,90726503.0,4539100000000.0
2009-10-21,618.48,93922840.0,4448540000000.0
2009-10-22,624.1,97698990.0,4939190000000.0
2009-10-23,615.68,136975240.0,6450270000000.0
2009-10-26,609.34,86642240.0,4179330000000.0
2009-10-27,596.78,95583432.0,4442120000000.0
2009-10-28,599.86,70536896.0,3286590000000.0
2009-10-29,581.49,85782590.0,4162870000000.0
2009-10-30,587.12,67726680.0,3166970000000.0
2009-11-02,561.71,64747250.0,2852710000000.0
2009-11-03,539.65,64646863.0,3235340000000.0
2009-11-04,537.53,60280777.0,2784660000000.0
2009-11-05,555.54,57330030.0,2514080000000.0
2009-11-06,554.88,61060710.0,2935470000000.0
2009-11-09,534.09,47711940.0,2134710000000.0
2009-11-10,524.4,52487083.0,2337960000000.0
2009-11-11,537.59,43956394.0,1951680000000.0
2009-11-12,545.98,49997870.0,2318710000000.0
2009-11-13,548.21,48500300.0,2414990000000.0
2009-11-16,545.7,47988707.0,2342240000000.0
2009-11-17,547.08,50979407.0,2518640000000.0
2009-11-18,553.83,51773270.0,2890950000000.0
2009-11-19,560.05,62587700.0,3278450000000.0
2009-11-20,555.84,53203630.0,2668710000000.0
2009-11-23,537.29,50338134.0,2402330000000.0
2009-11-24,527.13,45876390.0,2193920000000.0
2009-11-25,503.41,66959578.0,3010950000000.0
2009-11-26,482.6,40270450.0,1740200000000.0
2009-11-27,490.62,68755676.0,2794700000000.0
2009-11-30,504.12,37530730.0,1545720000000.0
2009-12-01,514.92,43309446.0,1892910000000.0
2009-12-02,499.14,53487010.0,2095199999999.9998
2009-12-03,494.8,42459160.0,1690110000000.0
2009-12-04,494.96,34840660.0,1472850000000.0
2009-12-07,498.61,27771120.0,1160580000000.0
2009-12-08,488.47,33726403.0,1404460000000.0
2009-12-09,470.63,46174540.0,1802670000000.0
2009-12-10,458.72,38058240.0,1459930000000.0
2009-12-11,444.16,39319410.0,1397660000000.0
2009-12-14,458.39,45702080.0,1605730000000.0
2009-12-15,459.44,29644339.0,1058140000000.0001
2009-12-16,442.1,37041690.0,1295860000000.0
2009-12-17,434.87,39943137.0,1454070000000.0
2009-12-18,443.34,53776487.0,1979780000000.0
2009-12-21,460.99,35198780.0,1281740000000.0
2009-12-22,465.24,47247710.0,1845990000000.0
2009-12-23,470.75,41078860.0,1679150000000.0
2009-12-24,479.13,51977282.0,1930800000000.0
2009-12-25,495.08,53657520.0,2158929999999.9998
2009-12-28,492.57,50079074.0,2098600000000.0
2009-12-29,484.45,71783680.0,2595110000000.0
